StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q6_8_TEXT,Q7,Q7_7_TEXT,Q8,Q9,Q10,Q11,Q14,Q12,Q13,Q13_7_TEXT,Q15,Q16,Q7_7_TEXT - Topics
2018-03-07 14:18:17,2018-03-07 14:19:20,IP Address,152.23.142.187,100,62,True,2018-03-07 14:19:21,R_cLLqnZ3mXrcoyHf,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Senior,20-23 years,History and Communications,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,Yes,Yes,,,Second year of college,Yes,
2018-03-07 14:44:48,2018-03-07 14:45:59,IP Address,172.56.5.230,100,71,True,2018-03-07 14:45:59,R_3n6vtLxJpAwbysF,,,,,35.227096557617,-80.843101501465,anonymous,EN,Yes,Senior,20-23 years,English and Chinese,Female,Heterosexual (straight),,Asian,,Non-Hispanic,No,In-state,Supported,Yes,Yes,,,First year of college,Yes,
2018-03-07 14:39:37,2018-03-07 14:46:58,IP Address,152.23.214.66,100,441,True,2018-03-07 14:46:58,R_3r0sIrkRpUa7qeC,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Junior,20-23 years,History,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Neutral/indifferent,No,No,Haven't heard of it,,,No,
2018-03-07 14:49:26,2018-03-07 14:50:34,IP Address,65.87.188.46,100,68,True,2018-03-07 14:50:34,R_27TrfWlpKJklXSX,,,,,35.913299560547,-79.159202575684,anonymous,EN,Yes,Junior,20-23 years,"Art History and Religious Studies ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,Yes,Out-of-state,Neutral/indifferent,No,No,Worried about others finding out,,,Yes,
2018-03-07 14:51:50,2018-03-07 14:52:51,IP Address,24.211.140.235,100,60,True,2018-03-07 14:52:51,R_2b2lRTT5g9llzIo,,,,,35.913299560547,-79.159202575684,anonymous,EN,Yes,Junior,20-23 years,Political Science & PWAD,Female,Heterosexual (straight),,"white/Caucasian,Asian",,Non-Hispanic,No,In-state,Supported,Yes,Yes,,,Third year of college,Yes,
2018-03-07 15:19:53,2018-03-07 15:21:02,IP Address,152.23.209.149,100,68,True,2018-03-07 15:21:02,R_0SoP00X51oCbx8B,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Senior,20-23 years,"Psychology ",Female,Heterosexual (straight),,black/African American,,Non-Hispanic,No,In-state,Neutral/indifferent,No,No,Haven't needed it,,,Yes,
2018-03-07 16:13:55,2018-03-07 16:14:59,IP Address,69.59.1.2,100,64,True,2018-03-07 16:15:00,R_1eFAtuhFRBEVhBx,,,,,35.966598510742,-79.041000366211,anonymous,EN,Yes,Senior,20-23 years,HISTORY and PWAD,Female,Other,,white/Caucasian,,Non-Hispanic,Yes,In-state,Not at all,Yes,Yes,,,Third year of college,Yes,
2018-03-07 16:32:21,2018-03-07 16:33:43,IP Address,24.106.176.98,100,82,True,2018-03-07 16:33:44,R_3ehkodVfTyyOoI6,,,,,35.913299560547,-79.159202575684,anonymous,EN,Yes,Junior,20-23 years,Mathematics,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,No,No,Do not know how to access services,,,Yes,
2018-03-07 16:38:49,2018-03-07 16:39:27,IP Address,152.23.8.217,100,37,True,2018-03-07 16:39:27,R_3QXWAad6ntM7cLI,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,17-19 years,ECON,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,Yes,Yes,,,First year of college,Yes,
2018-03-07 17:00:00,2018-03-07 17:01:33,IP Address,74.219.17.72,100,93,True,2018-03-07 17:01:34,R_33ebi6m8BfyTgP2,,,,,35.966598510742,-79.041000366211,anonymous,EN,Yes,Sophomore,17-19 years,Journalism PR and Global Studies,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,Out-of-state,Supported,No,No,Haven't needed it,,,Yes,
2018-03-07 18:31:58,2018-03-07 18:33:36,IP Address,152.23.235.66,100,98,True,2018-03-07 18:33:37,R_1Nq9DCoR34jWiMH,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Junior,20-23 years,History,Male,Gay,,"white/Caucasian,Asian,Other","mixed race - I identify with first; white and asian are just the components ",Non-Hispanic,No,In-state,Somewhat supported,Yes,No,Haven't needed it,,,Yes,
2018-03-07 18:43:46,2018-03-07 18:44:52,IP Address,24.172.123.142,100,66,True,2018-03-07 18:44:53,R_3g2hN5jfDr2YGpH,,,,,35.966598510742,-79.041000366211,anonymous,EN,Yes,Junior,20-23 years,"Broadcast Journalism, Political Science, History Minor ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Very supported,Yes,Yes,,,First year of college,Yes,
2018-03-07 19:04:15,2018-03-07 19:05:35,IP Address,152.23.101.79,100,80,True,2018-03-07 19:05:36,R_9MIKriJCc7WQ5BT,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Junior,20-23 years,"Biology and Anthropology ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,Yes,In-state,Supported,No,No,Haven't needed it,,,No,
2018-03-07 19:06:45,2018-03-07 19:07:54,IP Address,99.203.16.196,100,68,True,2018-03-07 19:07:54,R_2wzga3qeanb4W9T,,,,,38.858993530273,-76.972099304199,anonymous,EN,Yes,Fifth-year senior,20-23 years,Biology BA and Nursing,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Very supported,Yes,Yes,,,Fourth year of college,No,
2018-03-07 19:12:23,2018-03-07 19:14:42,IP Address,204.85.176.143,100,139,True,2018-03-07 19:14:43,R_6G9qMXLHYj0IL7P,,,,,35.994003295898,-78.898597717285,anonymous,EN,Yes,First-year,17-19 years,Statistics and Analytics,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,No,No,Haven't needed it,,,Yes,
2018-03-07 19:27:18,2018-03-07 19:28:45,IP Address,152.3.43.36,100,86,True,2018-03-07 19:28:45,R_4IyX7pxE1U9I23L,,,,,35.995407104492,-78.901901245117,anonymous,EN,Yes,Sophomore,20-23 years,Public policy,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,No,No,Haven't had time/the hours don't work for me,,,Yes,
2018-03-07 19:29:28,2018-03-07 19:30:42,IP Address,152.23.243.155,100,74,True,2018-03-07 19:30:43,R_XplBEBOKlhSMjcJ,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Computer Science B.S.,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Very supported,No,No,Haven't needed it,,,Yes,
2018-03-07 19:31:10,2018-03-07 19:32:15,IP Address,74.219.17.207,100,64,True,2018-03-07 19:32:15,R_1nT8rk2Ux6KPdx7,,,,,35.966598510742,-79.041000366211,anonymous,EN,Yes,Senior,20-23 years,Health Policy and Management,Female,Heterosexual (straight),,Asian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,Yes,
2018-03-07 20:08:21,2018-03-07 20:09:29,IP Address,152.23.250.102,100,68,True,2018-03-07 20:09:30,R_2BsohEkAzvxFGsP,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,17-19 years,Statistics and Analytics,Female,Asexual,,"white/Caucasian,Hispanic or Latino",,Hispanic,No,In-state,Supported,Yes,Yes,,,First year of college,Yes,
2018-03-07 21:58:16,2018-03-07 21:59:17,IP Address,152.23.6.206,100,60,True,2018-03-07 21:59:17,R_2wnNfKVXlAaNZGS,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Senior,20-23 years,Public Health,Female,Heterosexual (straight),,Asian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,Yes,
2018-03-07 23:13:10,2018-03-07 23:13:55,IP Address,152.23.96.71,100,45,True,2018-03-07 23:13:56,R_3PS304ZFWP3oatm,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,20-23 years,Advertising,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Neutral/indifferent,No,No,Haven't needed it,,,Yes,
2018-03-08 00:12:08,2018-03-08 00:13:13,IP Address,152.23.225.167,100,65,True,2018-03-08 00:13:14,R_2Pu7TGXcHIXqEYk,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Senior,20-23 years,Advertising + Biology,Male,Heterosexual (straight),,Asian,,Non-Hispanic,No,In-state,Neutral/indifferent,No,No,Haven't needed it,,,Yes,
2018-03-08 17:06:46,2018-03-08 17:08:10,IP Address,152.23.226.44,100,84,True,2018-03-08 17:08:11,R_2eXqiv7rbkNSvrt,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Statistics and Computer Science,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,Yes,
2018-03-08 17:59:33,2018-03-08 18:00:25,IP Address,152.2.19.56,100,52,True,2018-03-08 18:00:26,R_0VWEZ6El04QYjId,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Junior,20-23 years,Math,Male,Heterosexual (straight),,"white/Caucasian,Asian",,Non-Hispanic,No,In-state,Neutral/indifferent,No,No,Haven't heard of it,,,No,
2018-03-08 18:49:34,2018-03-08 18:50:16,IP Address,152.23.234.185,100,42,True,2018-03-08 18:50:17,R_1Qsmi2YvmdAEmLF,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,20-23 years,"Journalism ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,No,No,Did not have the services I was looking for,,,Yes,
2018-03-13 10:45:14,2018-03-13 10:47:11,IP Address,67.58.113.50,100,117,True,2018-03-13 10:47:12,R_2ZJ4U9H6diII2uI,,,,,35.169799804688,-82.789703369141,anonymous,EN,Yes,Junior,20-23 years,Broadcast Journalism,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,Yes,
2018-03-07 11:04:40,2018-03-07 11:05:58,IP Address,152.23.189.195,82,77,False,2018-03-14 12:06:15,R_1obYhS2WjUr72aI,,,,,,,anonymous,EN,Yes,First-year,17-19 years,Computer Science and Linguistics,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,No,No,,,,,
2018-03-07 11:32:35,2018-03-07 11:33:47,IP Address,152.23.161.17,12,72,False,2018-03-14 12:33:50,R_xzJmkytDlMlni7f,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,
2018-03-14 16:40:03,2018-03-14 16:41:19,IP Address,65.190.55.73,100,76,True,2018-03-14 16:41:20,R_YQ63yymxpWoe23f,,,,,35.79150390625,-78.781097412109,anonymous,EN,Yes,Senior,20-23 years,English,Female,Bisexual,,Asian,,Non-Hispanic,No,In-state,Somewhat supported,Yes,Yes,,,Third year of college,Yes,
2018-03-07 16:08:39,2018-03-07 17:06:27,IP Address,152.23.139.63,0,3468,False,2018-03-14 18:06:38,R_3nUkJUihyimj8WQ,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2018-03-14 18:38:12,2018-03-14 18:38:20,IP Address,97.86.151.246,100,7,True,2018-03-14 18:38:20,R_3HNxWUdtQMqiDJ0,,,,,35.256500244141,-120.62139892578,anonymous,EN,No,,,,,,,,,,,,,,,,,,,
2018-03-08 12:50:57,2018-03-08 12:51:28,IP Address,75.176.1.120,12,30,False,2018-03-15 13:51:55,R_32XXGGCCcmAZ0p8,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,
2018-03-15 22:22:20,2018-03-15 22:23:31,IP Address,68.195.105.29,100,70,True,2018-03-15 22:23:31,R_2rgPu8FijL07aPT,,,,,40.653900146484,-73.608200073242,anonymous,EN,Yes,Sophomore,20-23 years,"Statistics and Analytics ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,Out-of-state,Very supported,No,No,Do not know how to access services,,,No,
2018-03-16 14:46:56,2018-03-16 14:48:16,IP Address,66.57.219.34,100,80,True,2018-03-16 14:48:17,R_3nwkd7BMlGKHubS,,,,,35.966598510742,-79.041000366211,anonymous,EN,Yes,Senior,20-23 years,History & Public Policy,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,Yes,In-state,Very supported,No,No,Haven't heard of it,,,No,
2018-03-07 12:48:35,2018-03-10 00:33:32,IP Address,98.27.53.117,12,215097,False,2018-03-17 01:34:04,R_1P0NW6nt796lRmi,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,
2018-03-20 12:40:18,2018-03-20 12:42:23,IP Address,204.85.176.187,100,124,True,2018-03-20 12:42:23,R_2Wu1U7jaE67rOiT,,,,,35.994003295898,-78.898597717285,anonymous,EN,Yes,First-year,17-19 years,Math BA,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,Yes,In-state,Neutral/indifferent,No,No,Haven't had time/the hours don't work for me,,,Yes,
2018-03-12 19:55:48,2018-03-13 13:42:03,IP Address,107.15.178.1,82,63974,False,2018-03-20 13:42:07,R_6ERUXbyHtnbpA09,,,,,,,anonymous,EN,Yes,Junior,20-23 years,economics,Male,Heterosexual (straight),,white/Caucasian,,Hispanic,No,In-state,Somewhat supported,Yes,No,,,,,
2018-04-03 14:23:39,2018-04-03 14:26:26,IP Address,152.23.255.94,100,166,True,2018-04-03 14:26:27,R_2VpEsApOBws3J9L,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Junior,Over 23 years,Media and Journalism,Female,Bisexual,,white/Caucasian,,Non-Hispanic,No,Out-of-state,Supported,No,No,Haven't had time/the hours don't work for me,,,Yes,
2018-04-03 14:26:47,2018-04-03 14:27:32,IP Address,174.193.146.141,100,45,True,2018-04-03 14:27:33,R_1FaK9LCOlrs5KEp,,,,,35.22770690918,-80.843902587891,anonymous,EN,Yes,First-year,17-19 years,"History ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Very supported,No,No,Worried about others finding out,,,Yes,
2018-04-03 14:28:53,2018-04-03 14:30:17,IP Address,152.23.253.218,100,84,True,2018-04-03 14:30:18,R_2S1AQOTFQHJVntR,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,20-23 years,English,Female,Bisexual,,white/Caucasian,,Non-Hispanic,Yes,In-state,Somewhat supported,Yes,Yes,,,First year of college,Yes,
2018-04-03 14:34:55,2018-04-03 14:36:03,IP Address,152.23.61.27,100,68,True,2018-04-03 14:36:03,R_3PdAC237NRPAVoK,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Junior,20-23 years,English and Political Science,Female,Lesbian,,white/Caucasian,,Non-Hispanic,Yes,In-state,Supported,Yes,Yes,,,Third year of college,Yes,
2018-04-03 15:03:35,2018-04-03 15:04:27,IP Address,24.225.84.81,100,51,True,2018-04-03 15:04:27,R_2CBzLoZ9LvbQhxK,,,,,35.966598510742,-79.041000366211,anonymous,EN,Yes,Junior,20-23 years,English,Female,Heterosexual (straight),,Asian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't heard of it,,,No,
2018-04-03 15:11:35,2018-04-03 15:12:49,IP Address,152.23.104.223,100,74,True,2018-04-03 15:12:50,R_BKXj01RTida81j3,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Junior,20-23 years,Journalism,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,Out-of-state,Supported,Yes,Yes,,,Third year of college,Yes,
2018-04-03 15:13:47,2018-04-03 15:16:53,IP Address,76.182.121.210,100,185,True,2018-04-03 15:16:53,R_2wAb3jx0qp9piI2,,,,,35.913192749023,-79.055801391602,anonymous,EN,Yes,Junior,20-23 years,Economics and Computer Science,Non-conforming,Queer,,"white/Caucasian,Asian",,Non-Hispanic,No,Out-of-state,Supported,Yes,Yes,,,First year of college,Yes,
2018-04-03 16:11:15,2018-04-03 16:12:34,IP Address,152.23.155.106,100,78,True,2018-04-03 16:12:35,R_02smhIG9eO3B7Pz,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Senior,20-23 years,"American History ",Female,Bisexual,,white/Caucasian,,Non-Hispanic,Yes,In-state,Neutral/indifferent,Yes,Yes,,,Third year of college,Yes,
2018-04-03 16:52:48,2018-04-03 16:53:40,IP Address,152.23.154.69,100,52,True,2018-04-03 16:53:41,R_1eKpfEPnk1BbPQs,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Political Science,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Very supported,No,No,Haven't needed it,,,Yes,
2018-04-03 16:59:31,2018-04-03 17:04:41,IP Address,152.23.160.211,100,309,True,2018-04-03 17:04:42,R_yz1boAnilTllQmR,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Junior,17-19 years,Biology,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Neutral/indifferent,No,No,Do not know how to access services,,,Yes,
2018-04-03 17:09:14,2018-04-03 17:10:21,IP Address,152.23.191.53,100,67,True,2018-04-03 17:10:23,R_12G7upYIrzruhxa,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Junior,20-23 years,Biology,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,Yes,Yes,,,Third year of college,No,
2018-04-03 17:11:46,2018-04-03 17:12:40,IP Address,98.26.111.125,100,53,True,2018-04-03 17:12:43,R_2zHeB43O1Ob7T2V,,,,,35.913192749023,-79.055801391602,anonymous,EN,Yes,Senior,20-23 years,"History and Archaeology ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,Yes,
2018-04-03 17:11:54,2018-04-03 17:12:50,IP Address,152.23.71.215,100,56,True,2018-04-03 17:12:50,R_BM0Bzlj947WHFbH,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,20-23 years,"public relations, psychology ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,Yes,
2018-04-03 18:24:29,2018-04-03 18:27:46,IP Address,204.85.176.116,100,197,True,2018-04-03 18:27:47,R_w761EdllVAumdEd,,,,,35.994003295898,-78.898597717285,anonymous,EN,Yes,Sophomore,17-19 years,Media and Journalism-Public Relations and Communication Studies,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Other,havenâ€™t made the time/put in effort to go,,Yes,
2018-04-03 18:48:38,2018-04-03 18:49:52,IP Address,152.23.220.243,100,73,True,2018-04-03 18:49:53,R_3PvprRgXL5N7JSI,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,17-19 years,English and Communications,Male,Bisexual,,white/Caucasian,,Non-Hispanic,No,In-state,Supported,Yes,Yes,,,First year of college,Yes,
2018-04-03 19:23:48,2018-04-03 19:24:46,IP Address,69.59.1.2,100,58,True,2018-04-03 19:24:47,R_2tbPJ1AHF1xB6Yr,,,,,35.966598510742,-79.041000366211,anonymous,EN,Yes,Sophomore,20-23 years,"Peace, War, and Defense and History",Female,Lesbian,,white/Caucasian,,Non-Hispanic,Yes,In-state,Neutral/indifferent,No,No,Do not know how to access services,,,No,
2018-04-03 20:12:52,2018-04-03 20:14:24,IP Address,98.27.49.127,100,91,True,2018-04-03 20:14:24,R_3s1cVla9oyV1mVr,,,,,35.913299560547,-79.159202575684,anonymous,EN,Yes,Junior,20-23 years,Political Science and Global Studies,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,Out-of-state,Supported,No,No,Haven't needed it,,,No,
2018-04-03 19:12:18,2018-04-03 22:01:17,IP Address,152.23.250.192,100,10138,True,2018-04-03 22:01:17,R_6VSh0qpxSbMgyQx,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Journalism,Male,Bisexual,,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't had time/the hours don't work for me,,,Yes,
2018-04-05 07:47:25,2018-04-05 07:49:22,IP Address,152.23.44.28,100,116,True,2018-04-05 07:49:22,R_eeNhwo9eNl9WkE1,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Health Policy and Management,Male,Heterosexual (straight),,black/African American,,Non-Hispanic,Yes,Out-of-state,Neutral/indifferent,No,No,Haven't needed it,,,Yes,
2018-04-09 14:14:36,2018-04-09 14:15:38,IP Address,2.109.108.138,100,61,True,2018-04-09 14:15:39,R_exnT3AHwqDQmzM5,,,,,55.666702270508,12.583297729492,anonymous,EN,Yes,Junior,20-23 years,Environmental Science,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,Out-of-state,Supported,No,No,Haven't had time/the hours don't work for me,,,Yes,
2018-04-03 14:26:15,2018-04-03 14:26:21,IP Address,152.23.204.27,12,6,False,2018-04-10 14:26:22,R_2YR48ufOdJeIape,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,
2018-04-22 08:41:29,2018-04-22 08:42:31,IP Address,98.26.25.168,100,61,True,2018-04-22 08:42:32,R_1mCNfEi5Gs6t4n4,,,,,35.913299560547,-79.159202575684,anonymous,EN,Yes,Senior,20-23 years,History,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,Yes,Yes,,,First year of college,Yes,
2018-04-22 09:02:11,2018-04-22 09:05:28,IP Address,174.194.8.94,100,196,True,2018-04-22 09:05:28,R_2b2BdQziuFWmhi1,,,,,35.422500610352,-78.995399475098,anonymous,EN,Yes,Junior,20-23 years,Psychology,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,Yes,Yes,,,First year of college,No,
2018-04-22 09:04:33,2018-04-22 09:05:48,IP Address,107.77.233.92,100,74,True,2018-04-22 09:05:48,R_337pKsoyn2nNhLc,,,,,33.748992919922,-84.388000488281,anonymous,EN,Yes,Junior,20-23 years,Journalism,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Neutral/indifferent,No,No,Haven't needed it,,,Yes,
2018-04-22 09:26:34,2018-04-22 09:27:33,IP Address,152.23.254.194,100,59,True,2018-04-22 09:27:34,R_pE3ThxsHsqQ8LCN,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Computer Science,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Neutral/indifferent,No,No,Do not know how to access services,,,No,
2018-04-22 10:08:12,2018-04-22 10:09:18,IP Address,69.59.1.2,100,65,True,2018-04-22 10:09:18,R_bxb1FoTV0bj9atH,,,,,35.966598510742,-79.041000366211,anonymous,EN,Yes,Senior,20-23 years,"Communication and History ",Female,Bisexual,,white/Caucasian,,Non-Hispanic,Yes,In-state,Somewhat supported,Yes,Yes,,,First year of college,Yes,
2018-04-22 11:41:05,2018-04-22 11:42:05,IP Address,152.23.122.243,100,60,True,2018-04-22 11:42:06,R_1jNwYy6qLR5sumW,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Political Science,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,Yes,Yes,,,First year of college,Yes,
2018-04-22 13:31:40,2018-04-22 13:32:16,IP Address,152.23.224.41,100,35,True,2018-04-22 13:32:17,R_2AGpbHDLNOglqgj,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Public Policy,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,Yes,In-state,Supported,Yes,Yes,,,First year of college,Yes,
2018-04-22 14:09:11,2018-04-22 14:10:18,IP Address,152.23.79.226,100,67,True,2018-04-22 14:10:19,R_22PTC62u38Iu6sS,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Senior,20-23 years,"HIstory and Political Science ",Male,Gay,,white/Caucasian,,Non-Hispanic,Yes,In-state,Somewhat supported,Yes,Yes,,,First year of college,Yes,
2018-04-22 16:58:38,2018-04-22 16:59:33,IP Address,152.23.229.108,100,55,True,2018-04-22 16:59:34,R_2OIUCL2d4YYqSH1,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,Sophomore,17-19 years,Journalism,Female,Heterosexual (straight),,white/Caucasian,,Hispanic,No,In-state,Neutral/indifferent,Yes,Yes,,,First year of college,Yes,
2018-04-22 18:55:05,2018-04-22 19:20:17,IP Address,152.23.253.248,100,1511,True,2018-04-22 19:20:17,R_aaUIVewCPHjck3D,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Computer Science,Female,Other,Gray-Asexual,black/African American,,Non-Hispanic,No,In-state,Very supported,Yes,Yes,,,First year of college,Yes,
2018-04-22 22:13:40,2018-04-22 22:15:28,IP Address,74.219.17.201,100,108,True,2018-04-22 22:15:29,R_2PzcTXH8YjI2oxh,,,,,35.966598510742,-79.041000366211,anonymous,EN,Yes,Sophomore,17-19 years,Media & Journalism,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,No,
2018-04-22 23:24:34,2018-04-22 23:25:45,IP Address,71.55.79.226,100,70,True,2018-04-22 23:25:46,R_ymSnWnxv5qcDfcR,,,,,35.055206298828,-78.911399841309,anonymous,EN,Yes,Senior,20-23 years,Economics,Male,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Very supported,No,No,Haven't needed it,,,No,
2018-04-23 12:15:14,2018-04-23 12:16:04,IP Address,152.23.51.213,100,49,True,2018-04-23 12:16:05,R_qPYg9CRbZPXFw0p,,,,,36.052505493164,-79.107696533203,anonymous,EN,Yes,First-year,17-19 years,Chemistry and Biology,Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Supported,No,No,Haven't needed it,,,Yes,
2018-04-24 09:43:50,2018-04-24 09:45:41,IP Address,204.84.255.231,100,111,True,2018-04-24 09:45:42,R_3h6lby31mCKgggo,,,,,35.994003295898,-78.898597717285,anonymous,EN,Yes,Junior,20-23 years,"BIOLOGY ",Female,Heterosexual (straight),,white/Caucasian,,Non-Hispanic,No,In-state,Somewhat supported,No,No,Haven't heard of it,,,No,
